hmdb_id;inchi;cid;bioactivity
HMDB0009945;InChI=1S/C47H82O16P2/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-41(49)61-39(37-59-40(48)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2)38-60-65(57,58)63-47-44(52)42(50)43(51)46(45(47)53)62-64(54,55)56/h8,10-11,13-14,16-18,20-21,39,42-47,50-53H,3-7,9,12,15,19,22-38H2,1-2H3,(H,57,58)(H2,54,55,56)/b10-8-,13-11-,16-14-,18-17-,21-20-/t39-,42?,43?,44?,45?,46-,47+/m1/s1;53480140;no
HMDB0010058;InChI=1S/C47H83O19P3/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-41(49)63-39(37-61-40(48)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2)38-62-69(59,60)66-45-42(50)43(51)46(64-67(53,54)55)47(44(45)52)65-68(56,57)58/h8,10-11,13-14,16-18,20-21,39,42-47,50-52H,3-7,9,12,15,19,22-38H2,1-2H3,(H,59,60)(H2,53,54,55)(H2,56,57,58)/b10-8-,13-11-,16-14-,18-17-,21-20-/t39-,42?,43?,44?,45+,46?,47+/m1/s1;53480249;no
HMDB0042063;InChI=1S/C47H90O6/c1-4-7-10-13-16-19-22-23-26-28-31-34-37-40-46(49)52-43-44(53-47(50)41-38-35-32-29-25-21-18-15-12-9-6-3)42-51-45(48)39-36-33-30-27-24-20-17-14-11-8-5-2/h44H,4-43H2,1-3H3/t44-/m0/s1;97045147;no
HMDB0042121;InChI=1S/C47H90O6/c1-4-7-10-13-16-19-22-23-26-29-32-35-38-41-47(50)53-44(42-51-45(48)39-36-33-30-27-24-20-17-14-11-8-5-2)43-52-46(49)40-37-34-31-28-25-21-18-15-12-9-6-3/h44H,4-43H2,1-3H3;14169768;no
HMDB0042960;InChI=1S/C47H90O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-45(48)51-42-44(53-47(50)41-38-35-32-29-24-21-18-15-12-9-6-3)43-52-46(49)40-37-34-31-28-26-23-20-17-14-11-8-5-2/h44H,4-43H2,1-3H3;131754096;no
HMDB0042092;InChI=1S/C47H90O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-46(49)52-43-44(42-51-45(48)39-36-33-30-27-24-21-18-15-12-9-6-3)53-47(50)41-38-35-32-29-26-23-20-17-14-11-8-5-2/h44H,4-43H2,1-3H3/t44-/m0/s1;131753238;no
HMDB0006594;InChI=1S/C48H79N3O37/c1-12(57)49-23-15(60)4-47(45(74)75,86-37(23)26(64)17(62)6-52)78-11-22-30(68)36(25(51-14(3)59)42(82-22)85-39-28(66)19(8-54)80-43(33(39)71)83-35-21(10-56)79-41(73)32(70)31(35)69)84-44-34(72)40(29(67)20(9-55)81-44)88-48(46(76)77)5-16(61)24(50-13(2)58)38(87-48)27(65)18(63)7-53/h15-44,52-56,60-73H,4-11H2,1-3H3,(H,49,57)(H,50,58)(H,51,59)(H,74,75)(H,76,77)/t15-,16-,17+,18+,19+,20+,21+,22+,23+,24+,25+,26+,27+,28-,29-,30+,31+,32+,33+,34+,35+,36+,37+,38+,39-,40-,41?,42-,43-,44-,47+,48-/m0/s1;3085216;no
HMDB0004975;InChI=1S/C48H91NO8/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-28-30-32-34-36-38-44(52)49-41(40-56-48-47(55)46(54)45(53)43(39-50)57-48)42(51)37-35-33-31-29-27-25-16-14-12-10-8-6-4-2/h17-18,35,37,41-43,45-48,50-51,53-55H,3-16,19-34,36,38-40H2,1-2H3,(H,49,52)/b18-17-,37-35+/t41-,42+,43+,45+,46-,47+,48+/m0/s1;20057357;no
HMDB0004978;InChI=1S/C48H93NO8/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-28-30-32-34-36-38-44(52)49-41(40-56-48-47(55)46(54)45(53)43(39-50)57-48)42(51)37-35-33-31-29-27-25-16-14-12-10-8-6-4-2/h35,37,41-43,45-48,50-51,53-55H,3-34,36,38-40H2,1-2H3,(H,49,52)/b37-35+/t41-,42+,43+,45+,46?,47?,48+/m0/s1;6321361;no
HMDB0008784;InChI=1S/C48H96NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-26-27-28-29-31-33-35-37-39-41-48(50)54-45-47(46-56-57(51,52)55-44-42-49(3,4)5)53-43-40-38-36-34-32-30-21-19-17-15-13-11-9-7-2/h40,43,47H,6-39,41-42,44-46H2,1-5H3/b43-40-;53479479;no
HMDB0011230;InChI=1S/C48H96NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-26-27-28-29-31-33-35-37-39-41-48(50)56-47(46-55-57(51,52)54-44-42-49(3,4)5)45-53-43-40-38-36-34-32-30-21-19-17-15-13-11-9-7-2/h40,43,47H,6-39,41-42,44-46H2,1-5H3/b43-40-;53480701;no
HMDB0008555;InChI=1S/C48H96NO7P/c1-6-8-10-12-14-16-18-20-22-24-25-26-27-29-31-33-35-37-39-41-48(50)54-45-47(46-56-57(51,52)55-44-42-49(3,4)5)53-43-40-38-36-34-32-30-28-23-21-19-17-15-13-11-9-7-2/h40,43,47H,6-39,41-42,44-46H2,1-5H3/b43-40-;53479159;no
HMDB0011256;InChI=1S/C48H96NO7P/c1-6-8-10-12-14-16-18-20-22-24-25-26-27-29-31-33-35-37-39-41-48(50)56-47(46-55-57(51,52)54-44-42-49(3,4)5)45-53-43-40-38-36-34-32-30-28-23-21-19-17-15-13-11-9-7-2/h40,43,47H,6-39,41-42,44-46H2,1-5H3/b43-40-;53480717;no
HMDB0008758;InChI=1S/C48H96NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-28-19-17-15-13-11-9-7-2/h46H,6-45H2,1-5H3/t46-/m1/s1;18631369;no
HMDB0007992;InChI=1S/C48H96NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-48(51)57-46(45-56-58(52,53)55-43-42-49(3,4)5)44-54-47(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h46H,6-45H2,1-5H3/t46-/m1/s1;24778743;no
HMDB0008530;InChI=1S/C48H96NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-28-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-29-26-21-19-17-15-13-11-9-7-2/h46H,6-45H2,1-5H3/t46-/m1/s1;24779107;no
HMDB0008051;InChI=1S/C48H96NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-39-41-48(51)57-46(45-56-58(52,53)55-43-42-49(3,4)5)44-54-47(50)40-38-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h46H,6-45H2,1-5H3/t46-/m1/s1;24778864;no
HMDB0008274;InChI=1S/C48H96NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h46H,6-45H2,1-5H3/t46-/m1/s1;22880141;no
HMDB0013421;InChI=1S/C48H98NO7P/c1-6-8-10-12-14-16-18-20-22-24-25-26-27-29-31-33-35-37-39-41-48(50)56-47(46-55-57(51,52)54-44-42-49(3,4)5)45-53-43-40-38-36-34-32-30-28-23-21-19-17-15-13-11-9-7-2/h47H,6-46H2,1-5H3/t47-/m1/s1;24779336;no
HMDB0013441;InChI=1S/C48H98NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-38-40-43-53-45-47(46-55-57(51,52)54-44-42-49(3,4)5)56-48(50)41-39-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h47H,6-46H2,1-5H3/t47-/m1/s1;52923844;no
HMDB0010419;InChI=1S/C49H90O6/c1-4-7-10-13-16-19-22-24-27-29-32-35-38-41-47(50)53-44-46(55-49(52)43-40-37-34-31-26-21-18-15-12-9-6-3)45-54-48(51)42-39-36-33-30-28-25-23-20-17-14-11-8-5-2/h19-20,22-23,46H,4-18,21,24-45H2,1-3H3/b22-19-,23-20-;53480484;no
HMDB0010412;InChI=1S/C49H92O6/c1-4-7-10-13-16-19-22-24-27-29-32-35-38-41-47(50)53-44-46(55-49(52)43-40-37-34-31-26-21-18-15-12-9-6-3)45-54-48(51)42-39-36-33-30-28-25-23-20-17-14-11-8-5-2/h19,22,46H,4-18,20-21,23-45H2,1-3H3/b22-19-/t46-/m1/s1;131750529;no
HMDB0010411;InChI=1S/C49H94O6/c1-4-7-10-13-16-19-22-24-27-29-32-35-38-41-47(50)53-44-46(55-49(52)43-40-37-34-31-26-21-18-15-12-9-6-3)45-54-48(51)42-39-36-33-30-28-25-23-20-17-14-11-8-5-2/h46H,4-45H2,1-3H3;545606;no
HMDB0004979;InChI=1S/C49H95NO8/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-25-27-29-31-33-35-37-39-45(53)50-42(41-57-49-48(56)47(55)46(54)44(40-51)58-49)43(52)38-36-34-32-30-28-26-16-14-12-10-8-6-4-2/h36,38,42-44,46-49,51-52,54-56H,3-35,37,39-41H2,1-2H3,(H,50,53)/b38-36+/t42-,43+,44+,46+,47-,48+,49+/m0/s1;20057360;no
HMDB0006006;InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3;6560;yes
HMDB0031213;InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3;8076;yes
HMDB0031716;InChI=1S/C4H10OS/c1-6-4-2-3-5/h5H,2-4H2,1H3;10448;yes
HMDB0061871;InChI=1S/C4H10S/c1-3-4-5-2/h3-4H2,1-2H3;19754;yes
HMDB0031872;InChI=1S/C4H10S2/c1-3-4-6-5-2/h3-4H2,1-2H3;16592;yes
HMDB0031321;InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3;8007;yes
HMDB0004437;InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2;8113;yes
HMDB0003361;InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H;9260;yes
HMDB0094691;InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1,3H,2H2;140765;no
HMDB0029718;InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H;8030;yes
HMDB0035924;InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H;8027;yes
HMDB0033116;InChI=1S/C4H5NS/c1-4-2-6-3-5-4/h2-3H,1H3;12748;yes
HMDB0034233;InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+;447466;no
HMDB0003407;InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3;650;yes
HMDB0031209;InChI=1S/C4H6O2/c1-3-6-4(2)5/h3H,1H2,2H3;7904;yes
HMDB0031646;InChI=1S/C4H6O3/c1-3(5)7-4(2)6/h1-2H3;7918;yes
HMDB0031518;InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/t2-/m1/s1;92824;yes
HMDB0031253;InChI=1S/C4H6OS/c5-4-2-1-3-6-4/h1-3H2;13852;yes
HMDB0062164;InChI=1S/C4H7NO2S/c6-4(7)3-1-8-2-5-3/h3,5H,1-2H2,(H,6,7)/t3-/m0/s1;93176;yes
HMDB0061875;InChI=1S/C4H8N2/c1-6(2)4-3-5/h4H2,1-2H3;61237;yes
HMDB0012265;InChI=1S/C4H8N2O3/c1-6(4(5)9)2-3(7)8/h2H2,1H3,(H2,5,9)(H,7,8);439375;no
HMDB0003543;InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3;261;yes
HMDB0031243;InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3;6561;yes
HMDB0031507;InChI=1S/C4H8O2/c1-2-4(6)3-5/h5H,2-3H2,1H3;521300;no
HMDB0030062;InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3;11124;yes
HMDB0031217;InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3;8857;yes
HMDB0001527;InChI=1S/C4H8O2S/c1-7-3-2-4(5)6/h2-3H2,1H3,(H,5,6);563;yes
HMDB0031857;InChI=1S/C4H8OS/c1-6-4-2-3-5/h3H,2,4H2,1H3;18635;yes
HMDB0059843;InChI=1S/C4H8S/c1-3-4-5-2/h3-4H,1-2H3/b4-3+;637915;no
HMDB0031653;InChI=1S/C4H8S/c1-3-4-5-2/h3H,1,4H2,2H3;66282;yes
HMDB0041389;InChI=1S/C4H8S2/c1-3-4-6-5-2/h3H,1,4H2,2H3;62434;yes
HMDB0002299;InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m1/s1;5459822;no
HMDB0031654;InChI=1S/C4H9NO2/c1-3(5)2-4(6)7/h3H,2,5H2,1H3,(H,6,7);10932;yes
HMDB0094692;InChI=1S/C4H9NO2/c1-3(5-2)4(6)7/h3,5H,1-2H3,(H,6,7)/t3-/m0/s1;5288725;no
HMDB0004041;InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3-/m0/s1;99289;yes
HMDB0240253;InChI=1S/C4H9NO4S/c1-4(6)5-2-3-10(7,8)9/h2-3H2,1H3,(H,5,6)(H,7,8,9);159864;no
HMDB0011593;InChI=1S/C50H95NO13/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-42(55)51-38(39(54)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2)37-61-49-47(60)45(58)48(41(36-53)63-49)64-50-46(59)44(57)43(56)40(35-52)62-50/h31,33,38-41,43-50,52-54,56-60H,3-30,32,34-37H2,1-2H3,(H,51,55)/b33-31+/t38-,39+,40+,41+,43-,44-,45+,46+,47+,48+,49+,50-/m0/s1;53481000;no
HMDB0004977;InChI=1S/C50H97NO8/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-25-26-28-30-32-34-36-38-40-46(54)51-43(42-58-50-49(57)48(56)47(55)45(41-52)59-50)44(53)39-37-35-33-31-29-27-16-14-12-10-8-6-4-2/h37,39,43-45,47-50,52-53,55-57H,3-36,38,40-42H2,1-2H3,(H,51,54)/b39-37+/t43-,44+,45+,47+,48-,49+,50+/m0/s1;20057359;no
HMDB0005432;InChI=1S/C51H92O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-49(52)55-46-48(57-51(54)45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)47-56-50(53)44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h19-24,48H,4-18,25-47H2,1-3H3/b22-19-,23-20-,24-21-;9543989;no
HMDB0048457;InChI=1S/C51H94O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-49(52)55-46-48(57-51(54)45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)47-56-50(53)44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h19-20,22-23,48H,4-18,21,24-47H2,1-3H3/b22-19-,23-20-;131759294;no
HMDB0007848;InChI=1S/C51H96O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-43-45-50(53)55-48-49(47-52)56-51(54)46-44-42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,49,52H,3-16,21-48H2,1-2H3/b19-17-,20-18-/t49-/m0/s1;53478598;no
HMDB0007847;InChI=1S/C51H98O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-43-45-50(53)55-48-49(47-52)56-51(54)46-44-42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17,19,49,52H,3-16,18,20-48H2,1-2H3/b19-17-/t49-/m0/s1;53478597;no
HMDB0006694;InChI=1S/C52H88N2O39/c1-11-23(62)28(67)34(73)48(80-11)89-41-19(9-59)86-47(22(54-14(4)61)43(41)92-51-37(76)31(70)26(65)16(6-56)84-51)93-44-27(66)20(87-52(38(44)77)88-39-17(7-57)82-45(78)33(72)32(39)71)10-79-46-21(53-13(3)60)42(91-49-35(74)29(68)24(63)12(2)81-49)40(18(8-58)85-46)90-50-36(75)30(69)25(64)15(5-55)83-50/h11-12,15-52,55-59,62-78H,5-10H2,1-4H3,(H,53,60)(H,54,61)/t11-,12-,15-,16-,17-,18-,19-,20-,21-,22-,23+,24+,25+,26+,27+,28+,29+,30+,31+,32-,33-,34-,35-,36-,37-,38-,39-,40-,41-,42-,43-,44+,45?,46-,47+,48-,49-,50+,51+,52+/m1/s1;9963863;no
HMDB0011594;InChI=1S/C52H99NO13/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-44(57)53-40(41(56)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2)39-63-51-49(62)47(60)50(43(38-55)65-51)66-52-48(61)46(59)45(58)42(37-54)64-52/h33,35,40-43,45-52,54-56,58-62H,3-32,34,36-39H2,1-2H3,(H,53,57)/b35-33+/t40-,41+,42+,43+,45-,46-,47+,48+,49+,50+,51+,52-/m0/s1;52921641;no
HMDB0009740;InChI=1S/C53H104NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-43-45-52(55)59-49-51(50-61-63(57,58)60-48-47-54)62-53(56)46-44-42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h18,20,51H,3-17,19,21-50,54H2,1-2H3,(H,57,58)/b20-18-/t51-/m1/s1;53480012;no
HMDB0009739;InChI=1S/C53H106NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-43-45-52(55)59-49-51(50-61-63(57,58)60-48-47-54)62-53(56)46-44-42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h51H,3-50,54H2,1-2H3,(H,57,58)/t51-/m1/s1;53480011;no
HMDB0043452;InChI=1S/C54H100O5/c1-4-7-10-13-16-19-22-25-27-29-31-34-37-40-43-46-49-57-50-52(51-58-53(55)47-44-41-38-35-32-24-21-18-15-12-9-6-3)59-54(56)48-45-42-39-36-33-30-28-26-23-20-17-14-11-8-5-2/h17,20,26,28,33,36,52H,4-16,18-19,21-25,27,29-32,34-35,37-51H2,1-3H3/b20-17-,28-26-,36-33-/t52-/m1/s1;131754572;no
HMDB0043655;InChI=1S/C54H100O5/c1-4-7-10-13-16-19-22-25-27-29-31-34-37-40-43-46-49-57-50-52(51-58-53(55)47-44-41-38-35-32-24-21-18-15-12-9-6-3)59-54(56)48-45-42-39-36-33-30-28-26-23-20-17-14-11-8-5-2/h8,11,17,20,26,28,52H,4-7,9-10,12-16,18-19,21-25,27,29-51H2,1-3H3/b11-8-,20-17-,28-26-/t52-/m1/s1;131754775;no
HMDB0052872;InChI=1S/C54H100O5/c1-4-7-10-13-16-19-22-25-27-29-31-34-37-40-43-46-49-57-50-52(59-54(56)48-45-42-39-36-32-24-21-18-15-12-9-6-3)51-58-53(55)47-44-41-38-35-33-30-28-26-23-20-17-14-11-8-5-2/h17,20,26,28,33,35,52H,4-16,18-19,21-25,27,29-32,34,36-51H2,1-3H3/b20-17-,28-26-,35-33-/t52-/m1/s1;131763523;no
HMDB0055161;InChI=1S/C54H100O5/c1-4-7-10-13-16-19-22-25-27-29-31-34-37-40-43-46-49-57-50-52(59-54(56)48-45-42-39-36-32-24-21-18-15-12-9-6-3)51-58-53(55)47-44-41-38-35-33-30-28-26-23-20-17-14-11-8-5-2/h8,11,17,20,26,28,52H,4-7,9-10,12-16,18-19,21-25,27,29-51H2,1-3H3/b11-8-,20-17-,28-26-/t52-/m1/s1;131765702;no
HMDB0043816;InChI=1S/C54H100O5/c1-4-7-10-13-16-19-22-25-27-29-31-34-37-40-43-46-49-57-52(50-58-53(55)47-44-41-38-35-32-24-21-18-15-12-9-6-3)51-59-54(56)48-45-42-39-36-33-30-28-26-23-20-17-14-11-8-5-2/h17,20,26,28,33,36,52H,4-16,18-19,21-25,27,29-32,34-35,37-51H2,1-3H3/b20-17-,28-26-,36-33-/t52-/m0/s1;131754934;no
HMDB0043823;InChI=1S/C54H100O5/c1-4-7-10-13-16-19-22-25-27-29-31-34-37-40-43-46-49-57-52(50-58-53(55)47-44-41-38-35-32-24-21-18-15-12-9-6-3)51-59-54(56)48-45-42-39-36-33-30-28-26-23-20-17-14-11-8-5-2/h8,11,17,20,26,28,52H,4-7,9-10,12-16,18-19,21-25,27,29-51H2,1-3H3/b11-8-,20-17-,28-26-/t52-/m0/s1;131754941;no
HMDB0004872;InChI=1S/C54H101NO13/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-28-30-32-34-36-38-46(59)55-42(43(58)37-35-33-31-29-27-25-16-14-12-10-8-6-4-2)41-65-53-51(64)49(62)52(45(40-57)67-53)68-54-50(63)48(61)47(60)44(39-56)66-54/h17-18,35,37,42-45,47-54,56-58,60-64H,3-16,19-34,36,38-41H2,1-2H3,(H,55,59)/b18-17-,37-35+/t42-,43+,44+,45+,47-,48-,49+,50+,51+,52+,53+,54-/m0/s1;90659830;no
HMDB0047760;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-24-25-26-27-28-29-30-33-35-38-41-44-47-53(56)59-50-51(49-58-52(55)46-43-40-37-34-31-21-18-15-12-9-6-3)60-54(57)48-45-42-39-36-32-23-20-17-14-11-8-5-2/h15-16,18-19,24-25,51H,4-14,17,20-23,26-50H2,1-3H3/b18-15-,19-16-,25-24-/t51-/m0/s1;131758602;no
HMDB0043182;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-24-25-26-27-28-29-30-33-35-38-41-44-47-53(56)59-50-51(60-54(57)48-45-42-39-36-31-21-18-15-12-9-6-3)49-58-52(55)46-43-40-37-34-32-23-20-17-14-11-8-5-2/h15-16,18-19,24-25,51H,4-14,17,20-23,26-50H2,1-3H3/b18-15-,19-16-,25-24-/t51-/m0/s1;131754309;no
HMDB0043546;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-24-25-26-27-28-29-30-33-36-39-42-45-48-54(57)60-51(49-58-52(55)46-43-40-37-34-31-21-18-15-12-9-6-3)50-59-53(56)47-44-41-38-35-32-23-20-17-14-11-8-5-2/h15-16,18-19,24-25,51H,4-14,17,20-23,26-50H2,1-3H3/b18-15-,19-16-,25-24-/t51-/m1/s1;131754666;no
HMDB0011701;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-32-35-38-41-44-47-53(56)59-50-51(49-58-52(55)46-43-40-37-34-31-24-21-18-15-12-9-6-3)60-54(57)48-45-42-39-36-33-29-23-20-17-14-11-8-5-2/h16,19,25-26,28,30,51H,4-15,17-18,20-24,27,29,31-50H2,1-3H3/b19-16-,26-25-,30-28-/t51-/m0/s1;131750646;no
HMDB0043208;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-32-35-38-41-44-47-53(56)59-50-51(49-58-52(55)46-43-40-37-34-31-24-21-18-15-12-9-6-3)60-54(57)48-45-42-39-36-33-29-23-20-17-14-11-8-5-2/h16,19-20,23,25-26,51H,4-15,17-18,21-22,24,27-50H2,1-3H3/b19-16-,23-20-,26-25-/t51-/m0/s1;131754335;no
HMDB0043029;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-32-35-38-41-44-47-53(56)59-50-51(49-58-52(55)46-43-40-37-34-31-24-21-18-15-12-9-6-3)60-54(57)48-45-42-39-36-33-29-23-20-17-14-11-8-5-2/h25-26,28,30,35,38,51H,4-24,27,29,31-34,36-37,39-50H2,1-3H3/b26-25-,30-28-,38-35-/t51-/m0/s1;131754163;no
HMDB0043873;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-33-35-38-41-44-47-53(56)59-50-51(60-54(57)48-45-42-39-36-31-24-21-18-15-12-9-6-3)49-58-52(55)46-43-40-37-34-32-29-23-20-17-14-11-8-5-2/h16,19,25-26,28,30,51H,4-15,17-18,20-24,27,29,31-50H2,1-3H3/b19-16-,26-25-,30-28-/t51-/m0/s1;131754985;no
HMDB0048444;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-33-35-38-41-44-47-53(56)59-50-51(60-54(57)48-45-42-39-36-31-24-21-18-15-12-9-6-3)49-58-52(55)46-43-40-37-34-32-29-23-20-17-14-11-8-5-2/h16,19-20,23,25-26,51H,4-15,17-18,21-22,24,27-50H2,1-3H3/b19-16-,23-20-,26-25-/t51-/m0/s1;131759281;no
HMDB0043867;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-33-35-38-41-44-47-53(56)59-50-51(60-54(57)48-45-42-39-36-31-24-21-18-15-12-9-6-3)49-58-52(55)46-43-40-37-34-32-29-23-20-17-14-11-8-5-2/h25-26,28,30,35,38,51H,4-24,27,29,31-34,36-37,39-50H2,1-3H3/b26-25-,30-28-,38-35-/t51-/m0/s1;131754979;no
HMDB0043483;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-33-36-39-42-45-48-54(57)60-51(49-58-52(55)46-43-40-37-34-31-24-21-18-15-12-9-6-3)50-59-53(56)47-44-41-38-35-32-29-23-20-17-14-11-8-5-2/h16,19,25-26,28,30,51H,4-15,17-18,20-24,27,29,31-50H2,1-3H3/b19-16-,26-25-,30-28-/t51-/m0/s1;131754603;no
HMDB0043460;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-33-36-39-42-45-48-54(57)60-51(49-58-52(55)46-43-40-37-34-31-24-21-18-15-12-9-6-3)50-59-53(56)47-44-41-38-35-32-29-23-20-17-14-11-8-5-2/h16,19-20,23,25-26,51H,4-15,17-18,21-22,24,27-50H2,1-3H3/b19-16-,23-20-,26-25-/t51-/m0/s1;131754580;no
HMDB0043309;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-26-27-28-30-33-36-39-42-45-48-54(57)60-51(49-58-52(55)46-43-40-37-34-31-24-21-18-15-12-9-6-3)50-59-53(56)47-44-41-38-35-32-29-23-20-17-14-11-8-5-2/h25-26,28,30,36,39,51H,4-24,27,29,31-35,37-38,40-50H2,1-3H3/b26-25-,30-28-,39-36-/t51-/m0/s1;131754431;no
HMDB0044708;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-27-29-32-34-37-40-43-46-52(55)58-49-51(60-54(57)48-45-42-39-36-31-24-21-18-15-12-9-6-3)50-59-53(56)47-44-41-38-35-33-30-28-26-23-20-17-14-11-8-5-2/h16,19,25,27,32,34,51H,4-15,17-18,20-24,26,28-31,33,35-50H2,1-3H3/b19-16-,27-25-,34-32-/t51-/m1/s1;131755752;no
HMDB0049726;InChI=1S/C54H98O6/c1-4-7-10-13-16-19-22-25-27-29-32-34-37-40-43-46-52(55)58-49-51(60-54(57)48-45-42-39-36-31-24-21-18-15-12-9-6-3)50-59-53(56)47-44-41-38-35-33-30-28-26-23-20-17-14-11-8-5-2/h16,19,25-28,51H,4-15,17-18,20-24,29-50H2,1-3H3/b19-16-,27-25-,28-26-/t51-/m1/s1;131760520;no
